# **************************
# Configuration generated from xml description using create_config.py 
#
# created on Thu Jan 27 11:05:41 2011
# Input file: bus-config-i12-box.xml
# Formatted in 9 columns: 
#  1 channel_no,  
#  2 assigned (0/1),  
#  3 alias,  
#  4 bus position,  
#  5 vendor_id (hex),  
#  6 product_code (hex),  
#  7 pdo index (hex),  
#  8 pdo subindex (hex),  
#  9 pdo bit length  
# **************************
# EL3702 Ch1 CycleCount Ch1 CycleCount 
 0,   1,   0,  1,  0x2,  0xe763052,  0x6800,  0x1,  16
 14,   1,   0,  4,  0x2,  0x127c3052,  0x1d09,  0x98,  32
# EL3314 TC TxPDO-MapCh.1 Underrange, Overrange, Limit 1 , Limit 2
#                         Error, TxPDO State
 15,   1,   0,  5,  0x2,  0xcf23052,  0x6000,  0x1,  16
# EL3314 TC TxPDO-MapCh.1 Value 
 16,   1,   0,  5,  0x2,  0xcf23052,  0x6000,  0x11,  16
# EL3314 TC TxPDO-MapCh.2 Underrange, Overrange, Limit 1 , Limit 2
#                         Error, TxPDO State
 17,   1,   0,  5,  0x2,  0xcf23052,  0x6010,  0x1,  16
# EL3314 TC TxPDO-MapCh.2 Value 
 18,   1,   0,  5,  0x2,  0xcf23052,  0x6010,  0x11,  16
# EL3314 TC TxPDO-MapCh.3 Underrange, Overrange, Limit 1 , Limit 2
#                         Error, TxPDO State
 19,   1,   0,  5,  0x2,  0xcf23052,  0x6020,  0x1,  16
# EL3314 TC TxPDO-MapCh.3 Value 
 20,   1,   0,  5,  0x2,  0xcf23052,  0x6020,  0x11,  16
# EL3314 TC TxPDO-MapCh.4 Underrange, Overrange, Limit 1 , Limit 2
#                         Error, TxPDO State
 21,   1,   0,  5,  0x2,  0xcf23052,  0x6030,  0x1,  16
# EL3314 TC TxPDO-MapCh.4 Value 
 22,   1,   0,  5,  0x2,  0xcf23052,  0x6030,  0x11,  16
# EL3202 RTD TxPDO-Map Ch.1 Underrange 
 23,   1,   0,  6,  0x2,  0xc823052,  0x6000,  0x1,  1
# EL3202 RTD TxPDO-Map Ch.1 Overrange 
 24,   1,   0,  6,  0x2,  0xc823052,  0x6000,  0x2,  1
# EL3202 RTD TxPDO-Map Ch.1 Limit 1 
 25,   1,   0,  6,  0x2,  0xc823052,  0x6000,  0x3,  2
# EL3202 RTD TxPDO-Map Ch.1 Limit 2 
 26,   1,   0,  6,  0x2,  0xc823052,  0x6000,  0x5,  2
# EL3202 RTD TxPDO-Map Ch.1 Error 
 27,   1,   0,  6,  0x2,  0xc823052,  0x6000,  0x7,  1
# EL3202 RTD TxPDO-Map Ch.1  
 28,   1,   0,  6,  0x2,  0xc823052,  0x0,  0x0,  7
# EL3202 RTD TxPDO-Map Ch.1  
 29,   1,   0,  6,  0x2,  0xc823052,  0x1800,  0x7,  1
# EL3202 RTD TxPDO-Map Ch.1  
 30,   1,   0,  6,  0x2,  0xc823052,  0x1800,  0x9,  1
# EL3202 RTD TxPDO-Map Ch.1 Value 
 31,   1,   0,  6,  0x2,  0xc823052,  0x6000,  0x11,  16
# EL3202 RTD TxPDO-Map Ch.2 Underrange 
 32,   1,   0,  6,  0x2,  0xc823052,  0x6010,  0x1,  1
# EL3202 RTD TxPDO-Map Ch.2 Overrange 
 33,   1,   0,  6,  0x2,  0xc823052,  0x6010,  0x2,  1
# EL3202 RTD TxPDO-Map Ch.2 Limit 1 
 34,   1,   0,  6,  0x2,  0xc823052,  0x6010,  0x3,  2
# EL3202 RTD TxPDO-Map Ch.2 Limit 2 
 35,   1,   0,  6,  0x2,  0xc823052,  0x6010,  0x5,  2
# EL3202 RTD TxPDO-Map Ch.2 Error 
 36,   1,   0,  6,  0x2,  0xc823052,  0x6010,  0x7,  1
# EL3202 RTD TxPDO-Map Ch.2  
 37,   1,   0,  6,  0x2,  0xc823052,  0x0,  0x0,  7
# EL3202 RTD TxPDO-Map Ch.2  
 38,   1,   0,  6,  0x2,  0xc823052,  0x1801,  0x7,  1
# EL3202 RTD TxPDO-Map Ch.2  
 39,   1,   0,  6,  0x2,  0xc823052,  0x1801,  0x9,  1
# EL3202 RTD TxPDO-Map Ch.2 Value 
 40,   1,   0,  6,  0x2,  0xc823052,  0x6010,  0x11,  16
# EL1014 Channel 1 Input 
 41,   1,   0,  7,  0x2,  0x3f63052,  0x6000,  0x1,  1
# EL1014 Channel 2 Input 
 42,   1,   0,  7,  0x2,  0x3f63052,  0x6010,  0x1,  1
# EL1014 Channel 3 Input 
 43,   1,   0,  7,  0x2,  0x3f63052,  0x6020,  0x1,  1
# EL1014 Channel 4 Input 
 44,   1,   0,  7,  0x2,  0x3f63052,  0x6030,  0x1,  1
# Serial Interface Unit Outputs Byte0 
 45,   1,   0,  9,  0x72,  0xfa6053,  0x7000,  0x1,  8
# Serial Interface Unit Outputs Byte1 
 46,   1,   0,  9,  0x72,  0xfa6053,  0x7000,  0x2,  8
# Serial Interface Unit Outputs Byte2 
 47,   1,   0,  9,  0x72,  0xfa6053,  0x7000,  0x3,  8
# Serial Interface Unit Outputs Byte3 
 48,   1,   0,  9,  0x72,  0xfa6053,  0x7000,  0x4,  8
# Serial Interface Unit Inputs Byte0 
 49,   1,   0,  9,  0x72,  0xfa6053,  0x6000,  0x1,  8
# Serial Interface Unit Inputs Byte1 
 50,   1,   0,  9,  0x72,  0xfa6053,  0x6000,  0x2,  8
# Serial Interface Unit Inputs Byte2 
 51,   1,   0,  9,  0x72,  0xfa6053,  0x6000,  0x3,  8
# Serial Interface Unit Inputs Byte3 
 52,   1,   0,  9,  0x72,  0xfa6053,  0x6000,  0x4,  8
# Serial Interface Unit Inputs Status 
 53,   1,   0,  9,  0x72,  0xfa6053,  0x6000,  0x5,  8
